Year,District,Fertilizer CONSUMPTION (tons)
2012,Chhatarpur,36787
2013,Chhatarpur,28873
2014,Chhatarpur,26246
2015,Chhatarpur,25949
2016,Chhatarpur,31758
2017,Chhatarpur,25864
1966,Panna,29
1967,Panna,51
1968,Panna,72
1969,Panna,202
1970,Panna,279
1971,Panna,634
1972,Panna,877
1973,Panna,696
1974,Panna,693
1975,Panna,655
1976,Panna,578
1977,Panna,751
1978,Panna,1080
1979,Panna,714
1980,Panna,1060
1981,Panna,1192
1982,Panna,1311
1983,Panna,1603
1984,Panna,2175
1985,Panna,3115
1986,Panna,3020
1987,Panna,3632
1988,Panna,4360
1989,Panna,4425
1990,Panna,4104
1991,Panna,4466
1992,Panna,4644
1993,Panna,5895
1994,Panna,4521
1995,Panna,4521
1996,Panna,4521
1997,Panna,6723
1998,Panna,7973
1999,Panna,7436
2000,Panna,6152
2001,Panna,7179
2002,Panna,6886
2003,Panna,7539
2004,Panna,7371
2005,Panna,4707
2006,Panna,4451
2007,Panna,4663
2008,Panna,8123
2009,Panna,7906
2010,Panna,8410
2011,Panna,12434
2012,Panna,12085
2013,Panna,14070
2014,Panna,10213
2015,Panna,11269
2016,Panna,11584
2017,Panna,11162
1966,Rewa,244
1967,Rewa,165
1968,Rewa,570
1969,Rewa,684
1970,Rewa,1245
1971,Rewa,2120
1972,Rewa,2243
1973,Rewa,3325
1974,Rewa,1865
1975,Rewa,2457
1976,Rewa,2572
1977,Rewa,3788
1978,Rewa,4232
1979,Rewa,3599
1980,Rewa,4456
1981,Rewa,4883
1982,Rewa,5470
1983,Rewa,7275
1984,Rewa,9421
1985,Rewa,12036
1986,Rewa,12942
1987,Rewa,14751
1988,Rewa,16901
1989,Rewa,16901
1990,Rewa,20976
1991,Rewa,23552
1992,Rewa,22054
1993,Rewa,25681
1994,Rewa,30496
1995,Rewa,30496
1996,Rewa,30496
1997,Rewa,18690
1998,Rewa,20703
1999,Rewa,21286
2000,Rewa,20349
2001,Rewa,21442
2002,Rewa,19438
2003,Rewa,23044
2004,Rewa,19819
2005,Rewa,17978
2006,Rewa,20744
2007,Rewa,16008
2008,Rewa,21478
2009,Rewa,19381
2010,Rewa,19115
2011,Rewa,27098
2012,Rewa,26745
2013,Rewa,27570
2014,Rewa,21635
2015,Rewa,29667
2016,Rewa,32914
2017,Rewa,38173
1966,Sidhi,128
1967,Sidhi,49
1968,Sidhi,98
1969,Sidhi,78
1970,Sidhi,138
1971,Sidhi,210
1972,Sidhi,175
1973,Sidhi,218
1974,Sidhi,157
1975,Sidhi,294
1976,Sidhi,400
1977,Sidhi,468
1978,Sidhi,539
1979,Sidhi,409
1980,Sidhi,675
1981,Sidhi,667
1982,Sidhi,735
1983,Sidhi,1086
1984,Sidhi,1451
1985,Sidhi,1946
1986,Sidhi,1405
1987,Sidhi,1827
1988,Sidhi,2610
1989,Sidhi,2772
1990,Sidhi,3469
1991,Sidhi,4129
1992,Sidhi,3164
1993,Sidhi,2992
1994,Sidhi,4216
1995,Sidhi,4216
1996,Sidhi,4216
1997,Sidhi,6759
1998,Sidhi,7170
1999,Sidhi,7553
2000,Sidhi,7956
2001,Sidhi,8420
2002,Sidhi,7084
2003,Sidhi,8573
2004,Sidhi,8462
2005,Sidhi,8811
2006,Sidhi,9079
2007,Sidhi,7633
2008,Sidhi,9877
2009,Sidhi,9606
2010,Sidhi,10185
2011,Sidhi,12327
2012,Sidhi,12368
2013,Sidhi,14652
2014,Sidhi,9563
2015,Sidhi,10792
2016,Sidhi,12394
2017,Sidhi,15601
1966,Satna,250
1967,Satna,227
1968,Satna,213
1969,Satna,449
1970,Satna,1353
1971,Satna,2083
1972,Satna,2312
1973,Satna,1875
1974,Satna,2261
1975,Satna,1840
1976,Satna,1877
1977,Satna,2917
1978,Satna,2980
1979,Satna,1462
1980,Satna,3064
1981,Satna,3406
1982,Satna,4848
1983,Satna,6783
1984,Satna,7242
1985,Satna,9335
1986,Satna,10430
1987,Satna,11290
1988,Satna,12598
1989,Satna,14467
1990,Satna,18913
1991,Satna,17877
1992,Satna,17100
1993,Satna,18832
1994,Satna,20124
1995,Satna,20124
1996,Satna,20124
1997,Satna,18353
1998,Satna,18622
1999,Satna,20603
2000,Satna,19729
2001,Satna,22022
2002,Satna,23940
2003,Satna,24174
2004,Satna,26565
2005,Satna,27291
2006,Satna,28570
2007,Satna,25006
2008,Satna,29357
2009,Satna,30151
2010,Satna,39115
2011,Satna,36331
2012,Satna,34837
2013,Satna,34006
2014,Satna,31336
2015,Satna,38219
2016,Satna,43787
2017,Satna,44504
1966,Shahdol,185
1967,Shahdol,93
1968,Shahdol,84
1969,Shahdol,88
1970,Shahdol,155
1971,Shahdol,678
1972,Shahdol,705
1973,Shahdol,762
1974,Shahdol,450
1975,Shahdol,628
1976,Shahdol,552
1977,Shahdol,692
1978,Shahdol,598
1979,Shahdol,783
1980,Shahdol,563
1981,Shahdol,652
1982,Shahdol,805
1983,Shahdol,930
1984,Shahdol,1028
1985,Shahdol,1687
1986,Shahdol,1344
1987,Shahdol,1612
1988,Shahdol,2221
1989,Shahdol,2442
1990,Shahdol,3020
1991,Shahdol,3622
1992,Shahdol,3379
1993,Shahdol,3682
1994,Shahdol,4379
1995,Shahdol,4379
1996,Shahdol,4379
1997,Shahdol,5179
1998,Shahdol,5688
1999,Shahdol,6212
2000,Shahdol,5286
2001,Shahdol,6475
2002,Shahdol,5720
2003,Shahdol,7195
2004,Shahdol,6588
2005,Shahdol,6751
2006,Shahdol,8136
2007,Shahdol,8383
2008,Shahdol,10517
2009,Shahdol,10214
2010,Shahdol,12947
2011,Shahdol,14885
2012,Shahdol,13070
2013,Shahdol,14902
2014,Shahdol,15381
2015,Shahdol,14785
2016,Shahdol,16157
2017,Shahdol,17420
1966,Gwalior,263
1967,Gwalior,534
1968,Gwalior,613
1969,Gwalior,754
1970,Gwalior,1108
1971,Gwalior,1657
1972,Gwalior,3138
1973,Gwalior,3591
1974,Gwalior,4041
1975,Gwalior,3298
1976,Gwalior,5392
1977,Gwalior,4617
1978,Gwalior,5403
1979,Gwalior,2952
1980,Gwalior,4206
1981,Gwalior,4976
1982,Gwalior,4630
1983,Gwalior,6377
1984,Gwalior,5760
1985,Gwalior,8094
1986,Gwalior,9502
1987,Gwalior,9173
1988,Gwalior,14195
1989,Gwalior,13536
1990,Gwalior,18425
1991,Gwalior,17404
1992,Gwalior,15578
1993,Gwalior,19108
