Year,District,ANNUAL RAINFALL (Millimeters)
1981,Damoh,853.4
1982,Damoh,1337.2
1983,Damoh,1335
1984,Damoh,1110.8
1985,Damoh,1155.3
1986,Damoh,1001.1
1987,Damoh,1507.4
1988,Damoh,983.5
1989,Damoh,403.5
1990,Damoh,1784.7
1991,Damoh,1204.4
1992,Damoh,1231.8
1993,Damoh,1003.3
1994,Damoh,1679.7
1995,Damoh,888
1996,Damoh,947.2
1997,Damoh,1286.8
1998,Damoh,781.4
1999,Damoh,1429.9
2000,Damoh,911.8
2001,Damoh,1042.3
2002,Damoh,918.7
2003,Damoh,1488.2
2004,Damoh,1048.7
2005,Damoh,1666.8
2006,Damoh,806
2007,Damoh,888.9
2008,Damoh,1259.4
2009,Damoh,683.3
2012,Damoh,1097.6
2013,Damoh,1793.8
2014,Damoh,824.4
2015,Damoh,971.4
1966,Tikamgarh,832.9
1967,Tikamgarh,1324.7
1968,Tikamgarh,741.4
1969,Tikamgarh,1248.7
1970,Tikamgarh,842.8
1971,Tikamgarh,1532.8
1972,Tikamgarh,1206.1
1973,Tikamgarh,813.1
1974,Tikamgarh,996
1975,Tikamgarh,1422
1976,Tikamgarh,1018.1
1977,Tikamgarh,601.3
1978,Tikamgarh,1282.5
1979,Tikamgarh,793.8
1980,Tikamgarh,1168.9
1981,Tikamgarh,844.8
1982,Tikamgarh,1693.5
1983,Tikamgarh,1274.5
1984,Tikamgarh,778.6
1985,Tikamgarh,1267.1
1986,Tikamgarh,657.1
1987,Tikamgarh,1080.6
1988,Tikamgarh,812.6
1989,Tikamgarh,467.8
1990,Tikamgarh,1392.3
1991,Tikamgarh,704.4
1992,Tikamgarh,852.4
1993,Tikamgarh,828.1
1994,Tikamgarh,888.8
1995,Tikamgarh,591.5
1996,Tikamgarh,1172.9
1997,Tikamgarh,1011
1998,Tikamgarh,964.5
1999,Tikamgarh,1111.9
2000,Tikamgarh,751.9
2001,Tikamgarh,961
2002,Tikamgarh,775.2
2003,Tikamgarh,1077.7
2004,Tikamgarh,567.3
2005,Tikamgarh,713.4
2006,Tikamgarh,593.7
2007,Tikamgarh,388
2008,Tikamgarh,1316.5
2009,Tikamgarh,735.9
2012,Tikamgarh,817.8
2013,Tikamgarh,1314.8
2014,Tikamgarh,868.4
2015,Tikamgarh,685
1966,Chhatarpur,785.6
1967,Chhatarpur,1406.4
1968,Chhatarpur,899.9
1969,Chhatarpur,1277.6
1970,Chhatarpur,971
1971,Chhatarpur,1346.7
1972,Chhatarpur,977
1973,Chhatarpur,708.5
1974,Chhatarpur,719.7
1975,Chhatarpur,1070.2
1976,Chhatarpur,968.4
1977,Chhatarpur,1004.3
1978,Chhatarpur,1495.8
1979,Chhatarpur,691.7
1980,Chhatarpur,1671.4
1981,Chhatarpur,903.3
1982,Chhatarpur,1589.4
1983,Chhatarpur,1204.4
1984,Chhatarpur,995.5
1985,Chhatarpur,1389.4
1986,Chhatarpur,838
1987,Chhatarpur,1106.3
1988,Chhatarpur,859.2
1989,Chhatarpur,747.5
1990,Chhatarpur,1274
1991,Chhatarpur,808.9
1992,Chhatarpur,1182.2
1993,Chhatarpur,1084.4
1994,Chhatarpur,1075
1995,Chhatarpur,493
1996,Chhatarpur,1122.7
1997,Chhatarpur,1189.3
1998,Chhatarpur,792.1
1999,Chhatarpur,1498.5
2000,Chhatarpur,812.6
2001,Chhatarpur,1023.1
2002,Chhatarpur,817.5
2003,Chhatarpur,1499.1
2004,Chhatarpur,940.7
2005,Chhatarpur,1006.6
2006,Chhatarpur,648.9
2007,Chhatarpur,575.2
2008,Chhatarpur,938.3
2009,Chhatarpur,741.8
2012,Chhatarpur,835.6
2013,Chhatarpur,1502.4
2014,Chhatarpur,746.2
2015,Chhatarpur,799.1
1966,Panna,729.3
1967,Panna,1237.7
1968,Panna,835.1
1969,Panna,1373.3
1970,Panna,1199.9
1971,Panna,1853.7
1972,Panna,1276.2
1973,Panna,935
1974,Panna,849.3
1975,Panna,1452.5
1976,Panna,1260.3
1977,Panna,1589.2
1978,Panna,1529.7
1979,Panna,662.7
1980,Panna,1804.9
1981,Panna,790.1
1982,Panna,1583.7
1983,Panna,1100
1984,Panna,1100.9
1985,Panna,993.1
1986,Panna,979.3
1987,Panna,1209.6
1988,Panna,1032.8
1989,Panna,933.9
1990,Panna,1620.3
1991,Panna,910.7
1992,Panna,1421.4
1993,Panna,1169.1
1994,Panna,1367.1
1995,Panna,948.5
1996,Panna,1028
1997,Panna,1460.3
1998,Panna,774.8
1999,Panna,1405.6
2000,Panna,815.2
2001,Panna,1265.2
2002,Panna,1047.9
2003,Panna,1936.6
2004,Panna,1284.6
2005,Panna,1494.4
2006,Panna,606.5
2007,Panna,405.7
2008,Panna,584.8
2009,Panna,761.2
2012,Panna,1094.7
2013,Panna,1621.9
2014,Panna,709
2015,Panna,777.3
1966,Rewa,823.9
1967,Rewa,1540.2
1968,Rewa,718.5
1969,Rewa,1112.2
1970,Rewa,1061.3
1971,Rewa,1681.7
1972,Rewa,1134.3
1973,Rewa,933.5
1974,Rewa,828.3
1975,Rewa,1188.4
1976,Rewa,1007
1977,Rewa,1341.7
1978,Rewa,1374.7
1979,Rewa,707.5
1980,Rewa,1329.8
1981,Rewa,1271.3
1982,Rewa,1496.3
1983,Rewa,-1
1984,Rewa,1144.9
1985,Rewa,968.7
1986,Rewa,991.7
1987,Rewa,962.4
1988,Rewa,933.8
1989,Rewa,644.6
1990,Rewa,1147.3
1991,Rewa,922.4
1992,Rewa,993.9
1993,Rewa,833.6
1994,Rewa,1197.3
1995,Rewa,1090.5
1996,Rewa,836.4
1997,Rewa,1172
1998,Rewa,936.5
1999,Rewa,1186.9
2000,Rewa,864.3
2001,Rewa,1285.9
2002,Rewa,942.6
2003,Rewa,1245.9
2004,Rewa,999.3
2005,Rewa,964.8
2006,Rewa,698
2007,Rewa,864.2
2008,Rewa,842.9
2009,Rewa,618.8
2012,Rewa,1224.2
2013,Rewa,1479.2
2014,Rewa,957.9
2015,Rewa,803.1
1966,Sidhi,807.7
1967,Sidhi,1418.5
1968,Sidhi,709.3
1969,Sidhi,1358.1
1970,Sidhi,1262.4
1971,Sidhi,1852.8
1972,Sidhi,1123.9
1973,Sidhi,1094.5
1974,Sidhi,603.3
1975,Sidhi,1210.6
1976,Sidhi,906.8
1977,Sidhi,1454.2
1978,Sidhi,1444.1
1979,Sidhi,757.4
1980,Sidhi,1198.9
1981,Sidhi,1411.2
1982,Sidhi,1605
1983,Sidhi,1200.6
1984,Sidhi,1177.4
1985,Sidhi,1431.3
1986,Sidhi,1162.7
1987,Sidhi,1219.7
1988,Sidhi,931.9
1989,Sidhi,669
1990,Sidhi,1103.2
1991,Sidhi,1044.1
1992,Sidhi,718.3
1993,Sidhi,904.6
1994,Sidhi,1390.3
1995,Sidhi,1013.6
1996,Sidhi,878.1
1997,Sidhi,1532.1
1998,Sidhi,1063.2
1999,Sidhi,1295.4
2000,Sidhi,1239.7
2001,Sidhi,1267.5
2002,Sidhi,883.1
2003,Sidhi,1372.8
2004,Sidhi,759.4
2005,Sidhi,785.8
2006,Sidhi,1202
2007,Sidhi,775.5
2008,Sidhi,785.4
2009,Sidhi,634.7
2012,Sidhi,1487.4
2013,Sidhi,1327.3
2014,Sidhi,1242.7
2015,Sidhi,806
1966,Satna,710.1
1967,Satna,1510.2
1968,Satna,725.3
1969,Satna,1112.4
1970,Satna,1024.9
1971,Satna,1578
1972,Satna,872
1973,Satna,916
1974,Satna,789.7
1975,Satna,1425.4
1976,Satna,1058
1977,Satna,1138.2
1978,Satna,1568.5
1979,Satna,525.3
1980,Satna,1633.3
1981,Satna,815.7
1982,Satna,1368.6
1983,Satna,1347.2
1984,Satna,1143.3
1985,Satna,925
1986,Satna,796.8
1987,Satna,1135.4
1988,Satna,996.7
1989,Satna,912.8
1990,Satna,1145.4
1991,Satna,942.9
1992,Satna,1121.3
1993,Satna,854.7
1994,Satna,1048.3
1995,Satna,796.5
1996,Satna,912.2
1997,Satna,1060.8
1998,Satna,879.2
1999,Satna,1044.2
2000,Satna,812.3
2001,Satna,1250.7
2002,Satna,1085.4
2003,Satna,1574.2
2004,Satna,1078.4
2005,Satna,1471.6
2006,Satna,779.9
2007,Satna,741.4
2008,Satna,754
2009,Satna,830.9
2012,Satna,959.6
2013,Satna,1351.2
2014,Satna,808.9
2015,Satna,1081.4
1968,Shahdol,891.3
1970,Shahdol,1050.7
1971,Shahdol,1507.2
1972,Shahdol,943.8
1973,Shahdol,843.2
1974,Shahdol,760.4
1975,Shahdol,2456.7
1976,Shahdol,995
1977,Shahdol,1202
1978,Shahdol,1200.3
1979,Shahdol,673.8
1980,Shahdol,1421.4
1981,Shahdol,878
1982,Shahdol,1244.6
1983,Shahdol,1059.3
1984,Shahdol,1268.6
1985,Shahdol,1031.2
1986,Shahdol,1138.3
1987,Shahdol,1091.2
1988,Shahdol,1066.8
1989,Shahdol,284.2
1990,Shahdol,1388
1991,Shahdol,1008
1992,Shahdol,905.7
1993,Shahdol,1165.4
1994,Shahdol,1682.6
1995,Shahdol,1162.3
1996,Shahdol,1246.3
1997,Shahdol,1419.2
1998,Shahdol,886.2
1999,Shahdol,1133.9
2000,Shahdol,942.4
2001,Shahdol,1243.1
2002,Shahdol,893.1
2003,Shahdol,1637.6
2004,Shahdol,731.4
2005,Shahdol,1485
2006,Shahdol,1065.2
2007,Shahdol,1050.1
2008,Shahdol,945.2
2009,Shahdol,640.7
2012,Shahdol,982.9
2013,Shahdol,1055.3
2014,Shahdol,990.1
2015,Shahdol,787.7
1966,Gwalior,737.5
1967,Gwalior,1080.5
1968,Gwalior,934.3
1969,Gwalior,659.8
1970,Gwalior,835.2
1971,Gwalior,1335.6
1972,Gwalior,774.8
1973,Gwalior,768.3
1974,Gwalior,946
1975,Gwalior,794.6
1976,Gwalior,879.1
1977,Gwalior,801.4
1978,Gwalior,734.1
1979,Gwalior,550.5
1980,Gwalior,985.3
1981,Gwalior,609.5
1982,Gwalior,963
1983,Gwalior,1146.3
1984,Gwalior,839.2
1985,Gwalior,1102
1986,Gwalior,711.8
1987,Gwalior,554.3
1988,Gwalior,843.5
1989,Gwalior,548.3
1990,Gwalior,1069.3
1991,Gwalior,667.5
1992,Gwalior,797
1993,Gwalior,723.3
1994,Gwalior,867.4
1995,Gwalior,992.4
